RespId,weight,Q29_1,voter_category
484575,0.9136,-1,rarely/never
476222,0.914,NA,always
487456,0.914,NA,always
472432,0.9143,NA,always
470448,0.9145,NA,sporadic
471345,0.9145,NA,always
472494,0.9145,NA,sporadic
473006,0.9145,NA,sporadic
474018,0.9145,NA,rarely/never
475834,0.9145,-1,rarely/never
472767,0.9147,NA,always
474885,0.9147,NA,always
473860,0.9155,NA,sporadic
472043,0.9158,NA,always
475814,0.9158,NA,always
475984,0.9158,1,rarely/never
486300,0.9158,NA,rarely/never
474333,0.9161,NA,always
475392,0.9161,NA,always
477562,0.9161,NA,always
485873,0.9161,NA,sporadic
486575,0.9161,NA,sporadic
487313,0.9161,-1,rarely/never
476337,0.9162,-1,sporadic
470949,0.9164,NA,sporadic
470617,0.9172,NA,always
471293,0.9172,NA,sporadic
471294,0.9172,NA,always
471602,0.9172,NA,rarely/never
472670,0.9172,NA,always
472935,0.9172,NA,always
475650,0.9172,NA,sporadic
471824,0.9175,NA,sporadic
472136,0.9175,NA,always
475353,0.9175,NA,sporadic
476997,0.9175,NA,sporadic
477521,0.9175,NA,rarely/never
485713,0.9175,NA,sporadic
474888,0.9177,-1,rarely/never
475263,0.9177,NA,sporadic
470683,0.9182,NA,always
470868,0.9182,NA,always
472424,0.9182,NA,sporadic
472474,0.9182,NA,sporadic
472775,0.9182,NA,sporadic
473358,0.9182,-1,rarely/never
473397,0.9182,-1,sporadic
473853,0.9182,NA,sporadic
474015,0.9182,-1,rarely/never
476287,0.9182,-1,rarely/never
477461,0.9182,-1,sporadic
477243,0.9183,NA,sporadic
470122,0.9186,NA,sporadic
470229,0.9186,NA,always
470597,0.9186,NA,always
470607,0.9186,NA,sporadic
470798,0.9186,NA,rarely/never
470814,0.9186,-1,rarely/never
470848,0.9186,NA,always
471152,0.9186,NA,always
471478,0.9186,NA,sporadic
471523,0.9186,-1,rarely/never
471621,0.9186,NA,rarely/never
472115,0.9186,NA,sporadic
472826,0.9186,NA,sporadic
472914,0.9186,NA,always
473976,0.9186,NA,sporadic
474042,0.9186,-1,rarely/never
474301,0.9186,NA,sporadic
474454,0.9186,NA,sporadic
476258,0.9186,1,rarely/never
476647,0.9186,NA,sporadic
476736,0.9186,-1,rarely/never
476861,0.9186,NA,sporadic
477062,0.9186,NA,rarely/never
480491,0.9186,NA,sporadic
482785,0.9186,NA,rarely/never
474326,0.9198,NA,always
474547,0.9198,NA,always
476364,0.9198,1,sporadic
482573,0.9207,NA,sporadic
470515,0.9208,NA,always
471087,0.9208,NA,sporadic
471219,0.9208,NA,always
471736,0.9208,NA,always
471939,0.9208,NA,sporadic
472352,0.9208,NA,rarely/never
472671,0.9208,NA,always
474724,0.9209,-1,rarely/never
475523,0.9209,NA,sporadic
470496,0.9211,NA,always
470676,0.9211,NA,always
470813,0.9211,NA,sporadic
471284,0.9211,NA,always
471887,0.9211,NA,sporadic
472801,0.9211,NA,sporadic
473833,0.9211,NA,always
474660,0.9211,NA,rarely/never
474897,0.9211,NA,always
476466,0.9211,NA,always
477364,0.9211,NA,sporadic
477028,0.9216,NA,sporadic
472877,0.9219,NA,sporadic
473717,0.9219,NA,always
474666,0.9219,NA,always
472695,0.9223,NA,sporadic
475338,0.9223,NA,sporadic
477115,0.9223,NA,sporadic
482325,0.9223,1,rarely/never
472871,0.9224,NA,always
474827,0.9224,-1,rarely/never
476321,0.9224,NA,always
486698,0.9224,1,rarely/never
476185,0.923,NA,rarely/never
486792,0.923,NA,rarely/never
472777,0.9245,NA,always
474906,0.9245,NA,always
475020,0.9245,NA,sporadic
475466,0.9245,NA,sporadic
476036,0.9245,NA,sporadic
476533,0.9245,NA,sporadic
487381,0.9245,NA,sporadic
470920,0.9252,NA,always
471405,0.9252,NA,sporadic
471427,0.9252,NA,always
471510,0.9252,NA,sporadic
472034,0.9252,NA,always
472039,0.9252,NA,sporadic
472139,0.9252,NA,always
472543,0.9252,NA,sporadic
473526,0.9252,NA,sporadic
473657,0.9252,NA,sporadic
474226,0.9252,NA,always
474587,0.9252,-1,sporadic
474783,0.9252,NA,always
476152,0.9252,NA,sporadic
476668,0.9252,-1,rarely/never
477148,0.9252,NA,rarely/never
477483,0.9252,-1,rarely/never
486796,0.9252,NA,sporadic
488322,0.9252,NA,sporadic
475490,0.9256,NA,sporadic
476006,0.9257,NA,sporadic
474305,0.926,1,sporadic
470035,0.9261,NA,always
470039,0.9261,NA,always
470117,0.9261,NA,always
470251,0.9261,NA,sporadic
470367,0.9261,NA,sporadic
470626,0.9261,NA,always
470665,0.9261,NA,always
